asset,length,category,keyword,first issued,ask price
MFUND,5,Finance,FUND,1444077100,5
MGOLD,5,Finance,GOLD,1444104831,5
MINDS,5,Dictionary,Other,1444172820,25
MINED,5,Dictionary,Other,1444172820,25
MINES,5,Dictionary,Other,1444172820,25
MIPO,4,Finance,IPO,1444079910,10
MIST,4,Dictionary,Other,1443199736,25
MIXT,4,Brandable,Other,1443143217,10
MKAY,4,Brandable,Other,1450146898,10
MLLC,4,Business,LLC,1444073482,10
MLTD,4,Business,LTD,1444084382,10
MMKT,4,Acronym,Other,1450142350,10
MMMK,4,Brandable,Other,1449975485,10
MMONEY,6,Currency,MONEY,1444084382,100
MNOP,4,Acronym,Other,1449654348,10
MOAR,4,Internet,Other,1443136494,10
MOBB,4,Brandable,Other,1443485488,10
MOBS,4,Dictionary,Other,1444172820,25
MODS,4,Dictionary,Other,1444172820,25
MOGUL,5,Dictionary,Other,1444172820,25
MOGULS,6,Dictionary,Other,1444172820,25
MONIES,6,Currency,MONEY,1444172820,100
MONROE,6,Name,Other,1444165380,10
MOOS,4,Dictionary,Other,1443486171,25
MOTR,4,Brandable,Other,1443475730,10
MOXIE,5,Dictionary,Other,1444172820,25
MOXIES,6,Dictionary,Other,1444172820,25
MSHARE,6,Finance,SHARE,1444079910,5
MSHARES,7,Finance,SHARE,1444073482,5
MSTOCK,6,Finance,STOCK,1444081139,5
MSTOCKS,7,Finance,STOCK,1444081139,5
MTRADE,6,Finance,TRADE,1444103476,5
MUCK,4,Dictionary,Other,1443143217,25
MUDD,4,Brandable,Other,1444172820,10
MUNI,4,Currency,MONEY,1444715872,100
MYSQL,5,Internet,Other,1450143428,10
NAAA,4,Acronym,AAA,1444150908,10
NAAN,4,Dictionary,Other,1443139515,25
NARCHY,6,Internet,Other,1449944627,10
NARCO,5,Spanish,Other,1444169691,10
NARCOS,6,Spanish,Other,1444169691,10
NATE,4,Name,Other,1449940531,10
NCOIN,5,Currency,COIN,1444075253,100
NCOM,4,Internet,COM,1444162839,10
NCOMPANY,8,Business,COMPANY,1444069478,5
NCORP,5,Business,CORP,1444073482,5
NDEX,4,Finance,Other,1443475730,10
NEGS,4,Internet,Other,1444172820,10
NENE,4,Brandable,Other,1449940531,10
NERDS,5,Dictionary,Other,1444172820,25
NERDY,5,Dictionary,Other,1444172820,25
NFUND,5,Finance,FUND,1444077100,5
NICHE,5,Dictionary,Other,1444172820,25
NICHES,6,Dictionary,Other,1444172820,25
NIETZSCHE,9,Philosophy,Other,1447925941,10
NINER,5,Brandable,Other,1443206520,10
NIPO,4,Finance,IPO,1444079910,10
NLLC,4,Business,LLC,1444073482,10
NLTD,4,Business,LTD,1444084382,10
NMONEY,6,Currency,MONEY,1444084382,100
NOISEY,6,Dictionary,Other,1444172820,25
NOMS,4,Internet,Other,1444172820,10
NONY,4,Acronym,Other,1449943834,10
NONYMOUS,8,Internet,Other,1449943834,10
NORTE,5,Spanish,Other,1444710337,10
NRGY,4,Brandable,Other,1443206520,10
NSHARE,6,Finance,SHARE,1444079910,5
NSHARES,7,Finance,SHARE,1444073482,5
NSTOCK,6,Finance,STOCK,1444081139,5
NSTOCKS,7,Finance,STOCK,1444081139,5
NTRADE,6,Finance,TRADE,1444103476,5
OAAA,4,Acronym,AAA,1444150908,10
